"modality","variant_class","alpha","beta","mean_sensitivity","applicable","bundled_assays"
"Panel (cystic)","SNV_Indel",440490,1985,0.996,TRUE,"PKD1"
"Panel (cystic)","CNV_SV",38,1,0.974,TRUE,"PKD1"
"Panel (cystic)","Difficult_Locus (PKD1)",280,3,0.989,TRUE,"PKD1"
"Panel (cystic)","Difficult_Locus (MUC1)",0,1,0,FALSE,"PKD1"
"Panel (tubulointerstitial)","SNV_Indel",440490,1985,0.996,TRUE,"MUC1"
"Panel (tubulointerstitial)","CNV_SV",38,1,0.974,TRUE,"MUC1"
"Panel (tubulointerstitial)","Difficult_Locus (PKD1)",2,14,0.125,TRUE,"MUC1"
"Panel (tubulointerstitial)","Difficult_Locus (MUC1)",20,1,0.952,TRUE,"MUC1"
"Panel (glomerular)","SNV_Indel",440490,1985,0.996,TRUE,""
"Panel (glomerular)","CNV_SV",38,1,0.974,TRUE,""
"Panel (glomerular)","Difficult_Locus (PKD1)",2,14,0.125,TRUE,""
"Panel (glomerular)","Difficult_Locus (MUC1)",0,1,0,FALSE,""
"Panel (tubulopathies)","SNV_Indel",440490,1985,0.996,TRUE,""
"Panel (tubulopathies)","CNV_SV",38,1,0.974,TRUE,""
"Panel (tubulopathies)","Difficult_Locus (PKD1)",2,14,0.125,TRUE,""
"Panel (tubulopathies)","Difficult_Locus (MUC1)",0,1,0,FALSE,""
"Panel (CKDu)","SNV_Indel",440490,1985,0.996,TRUE,""
"Panel (CKDu)","CNV_SV",38,1,0.974,TRUE,""
"Panel (CKDu)","Difficult_Locus (PKD1)",2,14,0.125,TRUE,""
"Panel (CKDu)","Difficult_Locus (MUC1)",0,1,0,FALSE,""
"ES","SNV_Indel",440490,1985,0.996,TRUE,""
"ES","CNV_SV",38,1,0.974,TRUE,""
"ES","Difficult_Locus (PKD1)",2,14,0.125,TRUE,""
"ES","Difficult_Locus (MUC1)",0,1,0,FALSE,""
"GS","SNV_Indel",2723423,3147,0.999,TRUE,""
"GS","CNV_SV",277,3,0.996,TRUE,""
"GS","Difficult_Locus (PKD1)",13,1,0.929,TRUE,""
"GS","Difficult_Locus (MUC1)",0,1,0,FALSE,""
"Panel (cystic)","SNV_Indel",440490,1985,0.996,TRUE,"PKD1"
"Panel (cystic)","CNV_SV",38,1,0.974,TRUE,"PKD1"
"Panel (cystic)","Difficult_Locus (PKD1)",280,3,0.989,TRUE,"PKD1"
"Panel (cystic)","Difficult_Locus (MUC1)",0,1,0,FALSE,"PKD1"
"Panel (tubulointerstitial)","SNV_Indel",440490,1985,0.996,TRUE,"PKD1,MUC1"
"Panel (tubulointerstitial)","CNV_SV",38,1,0.974,TRUE,"PKD1,MUC1"
"Panel (tubulointerstitial)","Difficult_Locus (PKD1)",280,3,0.989,TRUE,"PKD1,MUC1"
"Panel (tubulointerstitial)","Difficult_Locus (MUC1)",20,1,0.952,TRUE,"PKD1,MUC1"
"Panel (glomerular)","SNV_Indel",440490,1985,0.996,TRUE,"PKD1"
"Panel (glomerular)","CNV_SV",38,1,0.974,TRUE,"PKD1"
"Panel (glomerular)","Difficult_Locus (PKD1)",280,3,0.989,TRUE,"PKD1"
"Panel (glomerular)","Difficult_Locus (MUC1)",0,1,0,FALSE,"PKD1"
"Panel (tubulopathies)","SNV_Indel",440490,1985,0.996,TRUE,"PKD1"
"Panel (tubulopathies)","CNV_SV",38,1,0.974,TRUE,"PKD1"
"Panel (tubulopathies)","Difficult_Locus (PKD1)",280,3,0.989,TRUE,"PKD1"
"Panel (tubulopathies)","Difficult_Locus (MUC1)",0,1,0,FALSE,"PKD1"
"Panel (CKDu)","SNV_Indel",440490,1985,0.996,TRUE,"PKD1"
"Panel (CKDu)","CNV_SV",38,1,0.974,TRUE,"PKD1"
"Panel (CKDu)","Difficult_Locus (PKD1)",280,3,0.989,TRUE,"PKD1"
"Panel (CKDu)","Difficult_Locus (MUC1)",0,1,0,FALSE,"PKD1"
